,ID,Producto,Cliente,Año,Periodo,Cantidad,Ingresos,Conteo,Costos,Margen
268,269,Fresh Portabella - 5lbs,Hammes and Sons,2019,5,4.0,74.0,1.0,14.96,59.04
271,272,Ecolab - Medallion,Hammes and Sons,2019,1,19.0,389.5,10.0,66.19,323.31
274,275,Cookie - Oatmeal,Hammes and Sons,2019,2,14.0,327.5,8.0,89.27,238.23000000000002
276,277,Cookie - Oatmeal,Hammes and Sons,2019,3,18.0,450.0,11.0,143.69,306.31
277,278,Cookie - Oatmeal,Hammes and Sons,2019,4,14.0,350.0,10.0,111.74,238.26
278,279,Cookie - Oatmeal,Hammes and Sons,2019,5,12.0,300.0,5.0,95.8,204.2
279,280,Cookie - Oatmeal,Hammes and Sons,2019,6,1.0,25.0,1.0,7.98,17.02
281,282,Island Oasis - Cappucino Mix,Hammes and Sons,2019,1,5.0,103.25,6.0,28.2,75.05
284,285,Tomato - Tricolor Cherry,Hammes and Sons,2019,2,5.0,75.75,3.0,30.18,45.57
286,287,Tomato - Tricolor Cherry,Hammes and Sons,2019,3,6.0,94.5,6.0,39.84,54.66
287,288,Tomato - Tricolor Cherry,Hammes and Sons,2019,4,5.0,80.75,5.0,35.2,45.55
288,289,Tomato - Tricolor Cherry,Hammes and Sons,2019,5,6.0,99.0,6.0,44.34,54.66
289,290,Tomato - Tricolor Cherry,Hammes and Sons,2019,6,4.0,66.0,3.0,29.55,36.45
291,292,Wine - Periguita Fonseca,Hammes and Sons,2019,3,1.0,22.0,1.0,15.47,6.529999999999999
295,296,Pepper - Jalapeno,Hammes and Sons,2019,1,8.0,61.5,4.0,9.59,51.91
298,299,Thyme - Fresh,Hammes and Sons,2019,2,4.0,32.5,2.0,9.3,23.2
300,301,Thyme - Fresh,Hammes and Sons,2019,3,5.0,42.5,2.0,13.5,29.0
302,303,Rye Special Old,Hammes and Sons,2019,2,1.0,18.5,1.0,4.94,13.559999999999999
305,306,Fresh Cape Gooseberries 12 pp/cs,Hammes and Sons,2019,3,0.0,23.0,1.0,0.0,23.0
307,308,Fresh Cape Gooseberries 12 pp/cs,Hammes and Sons,2019,4,1.0,23.0,1.0,9.5,13.5
308,309,Fresh Cape Gooseberries 12 pp/cs,Hammes and Sons,2019,5,1.0,19.5,1.0,6.1,13.4
341,342,Bread Bowl Plain,Conn-Kling,2019,3,5.0,50.0,1.0,23.37,26.63
344,345,Cinnamon - Ground,Conn-Kling,2019,4,5.0,50.0,1.0,23.37,26.63
346,347,Cinnamon - Ground,Conn-Kling,2019,6,5.0,50.0,1.0,23.47,26.53
348,349,Cookie Dough - Oatmeal Rasin,Conn-Kling,2019,4,8.0,78.0,1.0,58.38,19.619999999999997
351,352,Mayonnaise - Individual Pkg,Conn-Kling,2019,6,5.0,48.75,1.0,36.49,12.259999999999998
354,355,Cherries - Fresh,Conn-Kling,2019,3,15.0,165.0,1.0,118.26,46.739999999999995
357,358,Sea Bass - Fillets,Conn-Kling,2019,4,5.0,55.0,1.0,39.42,15.579999999999998
359,360,Sea Bass - Fillets,Conn-Kling,2019,6,5.0,55.0,1.0,39.42,15.579999999999998
361,362,"Sugar - Sweet N Low, Individual",Conn-Kling,2019,3,20.0,460.0,1.0,262.44,197.56
364,365,Onions - Vidalia,Conn-Kling,2019,4,10.0,230.0,1.0,131.22,98.78
366,367,Onions - Vidalia,Conn-Kling,2019,6,10.0,230.0,1.0,131.22,98.78
368,369,Sage Derby,Conn-Kling,2019,3,10.0,250.0,1.0,62.67,187.32999999999998
371,372,Cheese - Camembert,Conn-Kling,2019,6,8.0,200.0,1.0,50.13,149.87
374,375,Soup - French Can Pea,Conn-Kling,2019,3,8.0,136.0,1.0,24.2,111.8
377,378,Ice Cream Bar - Hagen Daz,Conn-Kling,2019,6,10.0,170.0,1.0,30.25,139.75
402,403,Rum - Mount Gay Eclipes,Breitenberg-Mosciski,2019,4,8.0,144.0,1.0,5.41,138.59
409,410,"Wine - Red, Metus Rose",Breitenberg-Mosciski,2019,2,60.0,720.0,3.0,144.96,575.04
411,412,"Wine - Red, Metus Rose",Breitenberg-Mosciski,2019,3,45.0,551.25,3.0,119.9,431.35
412,413,"Wine - Red, Metus Rose",Breitenberg-Mosciski,2019,4,10.0,122.5,1.0,26.43,96.07
413,414,"Wine - Red, Metus Rose",Breitenberg-Mosciski,2019,5,2.0,24.5,1.0,5.13,19.37
415,416,"Trout - Rainbow, Frozen",Breitenberg-Mosciski,2019,4,15.0,191.25,1.0,44.05,147.2
419,420,Bread - Raisin Walnut Pull,Breitenberg-Mosciski,2019,1,25.0,392.5,5.0,126.05,266.45
422,423,Slt - Individual Portions,Breitenberg-Mosciski,2019,2,20.0,302.8,3.0,89.64,213.16000000000003
424,425,Slt - Individual Portions,Breitenberg-Mosciski,2019,4,18.0,283.5,4.0,91.65,191.85
425,426,Slt - Individual Portions,Breitenberg-Mosciski,2019,5,6.0,94.5,3.0,30.54,63.96
426,427,Slt - Individual Portions,Breitenberg-Mosciski,2019,6,4.0,63.0,2.0,20.36,42.64
438,439,Kippers - Smoked,Breitenberg-Mosciski,2019,1,10.0,205.0,2.0,35.0,170.0
441,442,Fresh Portabella - 5lbs,Breitenberg-Mosciski,2019,2,15.0,270.0,1.0,47.09,222.91
445,446,Fresh Portabella - 5lbs,Breitenberg-Mosciski,2019,6,15.0,270.0,2.0,50.79,219.21
454,455,"Marjoram - Dried, Rubbed",Breitenberg-Mosciski,2019,5,25.0,418.75,3.0,79.0,339.75
464,465,Flour - Chickpea,Breitenberg-Mosciski,2019,5,10.0,180.0,1.0,97.7,82.3
465,466,Flour - Chickpea,Breitenberg-Mosciski,2019,6,5.0,90.0,1.0,48.85,41.15
467,468,Island Oasis - Cappucino Mix,Breitenberg-Mosciski,2019,3,45.0,663.75,3.0,253.58,410.16999999999996
513,514,"Corn - Cream, Canned",Breitenberg-Mosciski,2019,5,3.0,55.5,1.0,31.34,24.16
517,518,Tomatoes - Grape,Breitenberg-Mosciski,2019,4,0.0,107.5,1.0,0.0,107.5
527,528,Asparagus - Mexican,Breitenberg-Mosciski,2019,4,27.0,661.5,7.0,360.51,300.99
528,529,Asparagus - Mexican,Breitenberg-Mosciski,2019,5,22.0,493.0,6.0,247.76,245.24
529,530,Asparagus - Mexican,Breitenberg-Mosciski,2019,6,11.0,269.5,6.0,146.86,122.63999999999999
548,549,Evaporated Milk - Skim,Breitenberg-Mosciski,2019,5,13.0,448.5,5.0,293.1,155.39999999999998
549,550,Evaporated Milk - Skim,Breitenberg-Mosciski,2019,6,13.0,448.5,11.0,293.13,155.37
561,562,Mcguinness - Blue Curacao,Breitenberg-Mosciski,2019,3,1.0,34.25,1.0,8.64,25.61
565,566,Wine - Sawmill Creek Autumn,Breitenberg-Mosciski,2019,3,1.0,20.0,1.0,9.96,10.04
569,570,Cheese - Gouda,Breitenberg-Mosciski,2019,3,1.0,21.25,1.0,6.33,14.92
577,578,Cranberries - Frozen,Breitenberg-Mosciski,2019,6,2.0,45.0,1.0,25.83,19.17
581,582,Muffin Mix - Lemon Cranberry,Breitenberg-Mosciski,2019,6,1.0,18.0,1.0,11.51,6.49
612,613,Fresh Cape Gooseberries 12 pp/cs,Breitenberg-Mosciski,2019,2,10.0,175.0,1.0,39.94,135.06
614,615,Fresh Cape Gooseberries 12 pp/cs,Breitenberg-Mosciski,2019,3,25.0,437.5,3.0,99.86,337.64
616,617,Fresh Cape Gooseberries 12 pp/cs,Breitenberg-Mosciski,2019,5,25.0,437.5,1.0,233.66,203.84
617,618,Fresh Cape Gooseberries 12 pp/cs,Breitenberg-Mosciski,2019,6,5.0,87.5,1.0,22.79,64.71000000000001
619,620,Lemon Grass,Breitenberg-Mosciski,2019,5,15.0,262.5,1.0,128.52,133.98
623,624,Tea - Lemon Scented,Breitenberg-Mosciski,2019,1,1.0,12.5,1.0,3.99,8.51
626,627,Syrup - Monin - Blue Curacao,Breitenberg-Mosciski,2019,2,4.0,84.0,1.0,49.96,34.04
628,629,Syrup - Monin - Blue Curacao,Breitenberg-Mosciski,2019,3,3.0,45.0,1.0,19.47,25.53
629,630,Syrup - Monin - Blue Curacao,Breitenberg-Mosciski,2019,5,4.0,84.0,2.0,49.0,35.0
630,631,Syrup - Monin - Blue Curacao,Breitenberg-Mosciski,2019,6,0.0,63.0,1.0,0.0,63.0
632,633,"Trout - Rainbow, Fresh",Breitenberg-Mosciski,2019,1,0.0,60.0,1.0,0.0,60.0
635,636,Nougat - Paste / Cream,Breitenberg-Mosciski,2019,2,0.0,84.5,1.0,1.32,83.18
642,643,Soupcontfoam16oz 116con,Haley Inc,2019,5,1.0,27.5,1.0,10.04,17.46
645,646,Lime Cordial - Roses,Haley Inc,2019,6,6.0,165.0,2.0,60.25,104.75
648,649,Pears - Bartlett,Haley Inc,2019,6,12.0,312.0,1.0,132.69,179.31
652,653,Tomatoes,Haley Inc,2019,6,5.0,65.0,2.0,44.95,20.049999999999997
656,657,"Flour - Buckwheat, Dark",Haley Inc,2019,3,6.0,261.0,2.0,84.95,176.05
660,661,Mix Pina Colada,Haley Inc,2019,6,5.0,76.25,2.0,56.87,19.380000000000003
664,665,Icecream Cone - Areo Chocolate,Haley Inc,2019,1,20.0,358.8,7.0,224.0,134.8
667,668,Cheese - Camembert,Haley Inc,2019,2,16.0,268.8,4.0,160.96,107.84
669,670,Cheese - Camembert,Haley Inc,2019,3,17.0,285.6,6.0,171.02,114.58000000000001
670,671,Cheese - Camembert,Haley Inc,2019,4,19.0,337.8,6.0,209.74,128.06
671,672,Cheese - Camembert,Haley Inc,2019,5,15.0,252.0,4.0,150.9,101.1
672,673,Cheese - Camembert,Haley Inc,2019,6,10.0,168.0,5.0,100.6,67.4
674,675,Bread Country Roll,Haley Inc,2019,1,3.0,64.9,3.0,27.52,37.38000000000001
677,678,Juice - Apple Cider,Haley Inc,2019,2,2.0,30.4,1.0,5.47,24.93
679,680,Juice - Apple Cider,Haley Inc,2019,4,1.0,15.2,1.0,2.74,12.459999999999999
680,681,Juice - Apple Cider,Haley Inc,2019,6,1.0,15.2,1.0,2.74,12.459999999999999
682,683,Lettuce - Green Leaf,Haley Inc,2019,2,1.0,56.0,1.0,33.61,22.39
685,686,Ecolab - Balanced Fusion,Haley Inc,2019,3,1.0,56.0,1.0,34.04,21.96
687,688,Ecolab - Balanced Fusion,Haley Inc,2019,5,3.0,168.0,1.0,102.81,65.19
689,690,V8 Splash Strawberry Banana,Haley Inc,2019,1,1.0,35.0,1.0,18.67,16.33
703,704,Beer - Creemore,Haley Inc,2019,2,2.0,25.0,1.0,15.32,9.68
706,707,Dried Star Anise 1#/pp,Haley Inc,2019,5,1.0,10.4,1.0,5.56,4.840000000000001
709,710,Wine - Fat Bastard Merlot,Haley Inc,2019,2,1.0,18.75,1.0,12.86,5.890000000000001
712,713,Tahini Paste,Haley Inc,2019,5,11.0,206.25,2.0,141.46,64.78999999999999
715,716,Syrup - Monin - Blue Curacao,Haley Inc,2019,6,8.0,440.0,1.0,120.0,320.0
722,723,Muffins - Assorted,Haley Inc,2019,5,2.0,91.5,1.0,43.37,48.13
725,726,Cranberries - Frozen,Haley Inc,2019,1,17.0,387.0,2.0,229.63,157.37
728,729,V8 Pet,Haley Inc,2019,2,22.0,462.0,2.0,258.32,203.68
730,731,V8 Pet,Haley Inc,2019,3,5.0,105.0,1.0,44.48,60.52
731,732,V8 Pet,Haley Inc,2019,4,19.0,462.0,7.0,212.13,249.87
732,733,V8 Pet,Haley Inc,2019,5,11.0,231.0,2.0,124.31,106.69
733,734,V8 Pet,Haley Inc,2019,6,18.0,378.0,2.0,206.76,171.24
735,736,Muffin Mix - Lemon Cranberry,Haley Inc,2019,1,5.0,67.5,1.0,35.07,32.43
738,739,Plasticknivesblack,Haley Inc,2019,4,2.0,27.0,1.0,14.03,12.97
740,741,Plasticknivesblack,Haley Inc,2019,5,14.0,189.0,3.0,98.21,90.79
742,743,Pepper - Jalapeno,Haley Inc,2019,1,65.0,522.5,4.0,24.37,498.13
747,748,Thyme - Fresh,Haley Inc,2019,3,30.0,225.0,4.0,51.0,174.0
748,749,Thyme - Fresh,Haley Inc,2019,4,51.0,382.5,6.0,118.66,263.84000000000003
766,767,Mince Meat - Filling,Haley Inc,2019,1,2.0,70.0,1.0,30.12,39.879999999999995
769,770,Beef Wellington,Haley Inc,2019,2,8.0,280.0,3.0,103.61,176.39
771,772,Beef Wellington,Haley Inc,2019,3,2.0,70.0,1.0,25.9,44.1
772,773,Beef Wellington,Haley Inc,2019,4,12.0,444.0,1.0,195.78,248.22
773,774,Beef Wellington,Haley Inc,2019,5,10.0,370.0,1.0,163.15,206.85
774,775,Beef Wellington,Haley Inc,2019,6,12.0,444.0,1.0,197.05,246.95
776,777,"Vinegar - Balsamic, White",Haley Inc,2019,4,20.0,740.0,1.0,227.61,512.39
787,788,Lettuce Romaine Chopped,Monahan-Tromp,2019,1,40.0,540.0,1.0,233.21,306.78999999999996
790,791,Fresh Mini Cremini 5lbs,Monahan-Tromp,2019,6,1.0,13.5,1.0,5.93,7.57
823,824,Mix Pina Colada,Monahan-Tromp,2019,1,8.0,135.17,4.0,104.15,31.019999999999982
826,827,Lidsoupcont Rp12dn,Monahan-Tromp,2019,2,4.0,64.0,3.0,48.49,15.509999999999998
828,829,Lidsoupcont Rp12dn,Monahan-Tromp,2019,3,7.0,112.0,4.0,84.86,27.14
829,830,Lidsoupcont Rp12dn,Monahan-Tromp,2019,4,7.0,123.85,4.0,96.71,27.14
830,831,Lidsoupcont Rp12dn,Monahan-Tromp,2019,5,7.0,139.65,5.0,112.51,27.14
831,832,Lidsoupcont Rp12dn,Monahan-Tromp,2019,6,10.0,199.5,4.0,160.74,38.75999999999999
833,834,"Chocolate - Milk, Callets",Monahan-Tromp,2019,3,2.0,42.0,1.0,13.5,28.5
837,838,Caviar - Salmon,Monahan-Tromp,2019,2,6.0,147.0,3.0,80.11,66.89
840,841,Asparagus - Mexican,Monahan-Tromp,2019,3,10.0,245.0,5.0,133.51,111.49000000000001
842,843,Asparagus - Mexican,Monahan-Tromp,2019,4,3.0,73.5,2.0,40.05,33.45
843,844,Asparagus - Mexican,Monahan-Tromp,2019,5,4.0,98.0,2.0,53.4,44.6
844,845,Asparagus - Mexican,Monahan-Tromp,2019,6,1.0,23.75,1.0,12.6,11.15
859,860,Jam - Raspberry,Monahan-Tromp,2019,4,20.0,385.4,1.0,256.86,128.53999999999996
881,882,Bread Country Roll,Monahan-Tromp,2019,4,10.0,192.7,1.0,68.07,124.63
889,890,Lemonade - Pineapple Passion,Monahan-Tromp,2019,3,5.0,98.75,1.0,55.85,42.9
893,894,Wine - Trimbach Pinot Blanc,Monahan-Tromp,2019,3,1.0,75.0,1.0,32.93,42.07
896,897,Apricots - Dried,Monahan-Tromp,2019,4,3.0,225.0,1.0,98.79,126.21
899,900,Sea Urchin,Monahan-Tromp,2019,5,7.0,77.0,2.0,47.35,29.65
902,903,Juice - V8 Splash,Monahan-Tromp,2019,6,2.0,22.0,1.0,13.53,8.47
905,906,"Pepper - Chillies, Crushed",Monahan-Tromp,2019,2,6.0,443.75,5.0,189.78,253.97
908,909,"Liners - Banana, Paper",Monahan-Tromp,2019,3,2.0,150.0,2.0,65.34,84.66
911,912,Hot Chocolate - Individual,Monahan-Tromp,2019,1,2.0,58.0,1.0,34.3,23.700000000000003
914,915,Cucumber - Pickling Ontario,Monahan-Tromp,2019,2,1.0,29.0,1.0,17.15,11.850000000000001
916,917,Cucumber - Pickling Ontario,Monahan-Tromp,2019,3,3.0,87.0,1.0,51.44,35.56
917,918,Cucumber - Pickling Ontario,Monahan-Tromp,2019,4,2.0,58.0,2.0,34.3,23.700000000000003
919,920,V8 Splash Strawberry Banana,Monahan-Tromp,2019,1,1.0,29.0,1.0,13.21,15.79
922,923,Soup Knorr Chili With Beans,Monahan-Tromp,2019,3,1.0,45.0,1.0,25.89,19.11
924,925,Soup Knorr Chili With Beans,Monahan-Tromp,2019,6,1.0,45.0,1.0,26.58,18.42
926,927,"Beef - Kindney, Whole",Monahan-Tromp,2019,1,1.0,28.46,1.0,14.26,14.200000000000001
930,931,Mcguinness - Blue Curacao,Monahan-Tromp,2019,2,2.0,67.5,2.0,16.28,51.22
933,934,Muffin Mix - Oatmeal,Monahan-Tromp,2019,3,4.0,135.0,3.0,32.56,102.44
948,949,Cheese - Swiss,Monahan-Tromp,2019,3,4.0,101.0,1.0,69.65,31.349999999999994
951,952,Potatoes - Idaho 80 Count,Monahan-Tromp,2019,4,1.0,25.25,1.0,17.41,7.84
953,954,Potatoes - Idaho 80 Count,Monahan-Tromp,2019,5,3.0,75.75,2.0,52.24,23.509999999999998
955,956,Wine - Sawmill Creek Autumn,Monahan-Tromp,2019,1,4.0,91.0,4.0,50.84,40.16
958,959,Dried Juniper Berries 1#/pp,Monahan-Tromp,2019,2,3.0,75.0,2.0,44.88,30.119999999999997
960,961,Dried Juniper Berries 1#/pp,Monahan-Tromp,2019,3,4.0,100.0,3.0,56.79,43.21
961,962,Dried Juniper Berries 1#/pp,Monahan-Tromp,2019,4,3.0,75.0,2.0,41.83,33.17
962,963,Dried Juniper Berries 1#/pp,Monahan-Tromp,2019,5,13.0,325.0,2.0,181.28,143.72
964,965,Cheese - Gouda,Monahan-Tromp,2019,1,1.0,21.0,1.0,6.08,14.92
967,968,"Wine - White, Riesling, Henry Of",Monahan-Tromp,2019,3,1.0,24.5,1.0,9.58,14.92
969,970,"Wine - White, Riesling, Henry Of",Monahan-Tromp,2019,6,1.0,24.5,1.0,9.58,14.92
971,972,"Wine - Bourgogne 2002, La",Monahan-Tromp,2019,3,0.0,35.75,1.0,0.0,35.75
975,976,Wine - Fat Bastard Merlot,Monahan-Tromp,2019,1,6.0,111.6,6.0,76.26,35.33999999999999
978,979,Tahini Paste,Monahan-Tromp,2019,2,5.0,93.0,4.0,63.55,29.450000000000003
979,980,Tahini Paste,Monahan-Tromp,2019,3,4.0,74.4,4.0,50.84,23.560000000000002
980,981,Tahini Paste,Monahan-Tromp,2019,4,3.0,55.8,3.0,38.13,17.669999999999995
